DZ21,label,catholic_bg_pct,proj_unity_pct,provenance
N20000514,Lurgan_P1,22.6,33.5,modelled
N20000515,Lurgan_K2,36.9,44.3,modelled
N20000516,Lurgan_L1,86.6,75.6,modelled
N20000517,Lurgan_J2,7.0,23.1,modelled
N20000518,Lurgan_J3,6.0,20.8,modelled
N20000519,Lurgan_K3,14.1,28.9,modelled
N20000520,Lurgan_J4,7.0,23.0,modelled
N20000521,Lurgan_B4,32.8,38.3,modelled
N20000522,Lurgan_N1,92.2,79.2,modelled
N20000523,Lurgan_P2,13.6,26.6,modelled
N20000524,Lurgan_L2,75.7,68.5,modelled
N20000526,Lurgan_K4,18.2,33.9,modelled
N20000527,Lurgan_Q1,31.0,41.2,modelled
N20000528,Lurgan_R1,93.5,79.9,modelled
N20000529,Lurgan_P3,18.8,31.7,modelled
N20000530,Lurgan_N2,92.7,79.4,modelled
N20000531,Lurgan_P4,8.5,24.0,modelled
N20000532,Lurgan_R2,87.4,76.3,modelled
N20000533,Lurgan_P5,12.3,26.6,modelled
N20000534,Lurgan_Q2,23.0,35.4,modelled
N20000535,Lurgan_N3,80.2,73.2,modelled
N20000536,Lurgan_R3,82.9,73.7,modelled
N20000537,Lurgan_S1,8.0,24.2,modelled
N20000538,Lurgan_N4,90.1,77.9,modelled
N20000539,Lurgan_Q3,14.3,28.4,modelled
N20000540,Lurgan_Q4,20.7,33.3,modelled
N20000542,Lurgan_S2,13.8,27.3,modelled
N20000543,Lurgan_R5,94.4,80.7,modelled
N20000544,Lurgan_T1,9.6,24.4,modelled
N20000545,Lurgan_S3,7.0,23.3,modelled
N20000546,Lurgan_T2,18.3,29.6,modelled
N20000547,Lurgan_S4,13.4,27.2,modelled
N20000548,Lurgan_T3,12.2,25.7,modelled
N20000549,Lurgan_S5,8.2,22.4,modelled
N20000550,Lurgan_T4,18.6,31.3,modelled
N20000551,Lagan_River_C1,9.2,22.9,modelled
N20000552,Lagan_River_A1,8.7,23.5,modelled
N20000553,Lagan_River_G1,11.9,26.1,modelled
N20000554,Lagan_River_A2,11.4,25.7,modelled
N20000555,Lagan_River_A3,5.1,22.3,modelled
N20000556,Lagan_River_A4,12.7,26.7,modelled
N20000557,Lagan_River_B1,6.1,22.0,modelled
N20000558,Lagan_River_B2,9.9,24.4,modelled
N20000559,Lagan_River_C2,5.9,21.1,modelled
N20000560,Lagan_River_J1,19.4,30.5,modelled
N20000561,Lagan_River_B3,7.9,23.3,modelled
N20000562,Lagan_River_C3,8.6,23.2,modelled
N20000563,Lagan_River_K1,26.4,35.0,modelled
N20000564,Lagan_River_E1,9.2,26.3,modelled
N20000565,Lagan_River_D1,20.6,32.2,modelled
N20000566,Lagan_River_F1,14.3,28.4,modelled
N20000567,Lagan_River_E2,5.4,22.7,modelled
N20000568,Lagan_River_D2,16.5,30.0,modelled
N20000569,Lagan_River_G2,19.7,30.2,modelled
N20000570,Lagan_River_F2,24.6,34.5,modelled
N20000571,Lagan_River_D3,19.0,31.9,modelled
N20000572,Lagan_River_E3,5.9,22.9,modelled
N20000573,Lagan_River_F3,18.6,32.4,modelled
N20000574,Lagan_River_F4,15.5,29.0,modelled
N20000575,Lagan_River_F5,15.4,28.2,modelled
N20000577,Lagan_River_H2,12.1,26.8,modelled
N20000578,Lagan_River_H3,18.3,29.5,modelled
N20000579,Lagan_River_J2,10.9,25.3,modelled
