code,name,LGD,MDM_score,MDM_rank,MDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Health Depr. and Disability_score,Health Depr. and Disability_rank,Education Skills and Training_score,Education Skills and Training_rank,Proximity to Services_score,Proximity to Services_rank,Crime and Disorder_score,Crime and Disorder_rank,Living Environment_score,Living Environment_rank,IDAC and IDAOP_score,IDAC and IDAOP_rank
95EE14W1,Seacon,Ballymoney,14.39,535,7,0.16,505,0.14,493,-0.34,566,17.03,424,0.55,236,3.38,785,16.79,505,0.2,447
95EE15W1,Stranocum,Ballymoney,19.83,390,5,0.19,428,0.12,567,-0.43,615,27,262,1.33,47,2.68,810,26.97,278,0.19,465
95EE16W1,The Vow,Ballymoney,13.28,571,7,0.15,535,0.12,605,-0.45,620,17.08,422,0.89,155,1.23,862,14.31,573,0.16,519
95FF01S1,Ballydown_1,Banbridge,5.4,807,10,0.06,802,0.1,683,-0.84,776,8.96,625,-0.27,534,8.61,627,4.44,843,0.06,777
95FF01S2,Ballydown_2,Banbridge,4.33,842,10,0.06,801,0.08,790,-1.44,878,3.4,778,-0.05,423,16.16,445,4.49,841,0.05,800
95FF02W1,Ballyward,Banbridge,18.64,419,5,0.14,566,0.13,509,0.13,346,16.68,433,1.29,58,1.25,861,26.62,281,0.14,569
95FF03W1,Banbridge West,Banbridge,12.49,589,7,0.14,551,0.14,454,-0.41,602,17.88,406,-0.19,493,9.31,610,7.9,751,0.17,506
95FF04W1,Bannside,Banbridge,10.04,662,8,0.1,667,0.11,634,-1.18,853,12.2,537,0.96,134,2.97,798,9.76,703,0.1,660
95FF05W1,Dromore North,Banbridge,13.17,575,7,0.19,421,0.13,557,-0.48,635,17.75,409,0.02,393,6.85,687,11.39,658,0.24,373
95FF06S1,Dromore South_1,Banbridge,9.45,684,8,0.11,655,0.1,664,-0.51,646,13.56,495,0.21,323,8.35,633,9.95,701,0.1,663
95FF06S2,Dromore South_2,Banbridge,6.85,773,9,0.07,772,0.08,788,-0.53,653,6.31,697,0.56,232,2.28,823,11.21,664,0.07,734
95FF07W1,Edenderry,Banbridge,23.8,309,4,0.26,263,0.18,285,-0.2,509,39,150,-0.36,570,22.99,330,15.57,547,0.32,247
95FF08W1,Fort,Banbridge,13.52,562,7,0.14,565,0.13,502,0.25,300,12.81,522,-0.3,547,15.5,457,11.23,662,0.12,612
95FF09W1,Gilford,Banbridge,19.61,397,5,0.18,460,0.17,316,-0.4,593,29.54,232,0.41,267,13.81,499,18.4,458,0.19,468
95FF10W1,Gransha,Banbridge,11.26,625,8,0.09,703,0.1,693,-0.96,808,12.71,524,1.29,59,2.23,826,11.99,636,0.08,711
95FF11W1,Katesbridge,Banbridge,15.57,503,6,0.11,633,0.12,578,-0.98,813,16.77,432,1.46,23,1.93,834,18.68,447,0.11,655
95FF12W1,Lawrencetown,Banbridge,15.81,496,6,0.16,511,0.17,309,-0.66,714,13.32,502,0.58,229,14.5,484,9.58,705,0.14,582
95FF13W1,Loughbrickland,Banbridge,14.13,543,7,0.14,570,0.14,444,-0.57,668,17.57,412,0.64,214,11.31,552,11.12,667,0.13,588
95FF14W1,Quilly,Banbridge,7.72,745,9,0.08,714,0.09,711,-1.23,861,6.79,692,0.83,170,2.71,808,12.16,628,0.07,746
95FF15W1,Rathfriland,Banbridge,22.51,333,4,0.25,275,0.16,359,0.16,337,25.04,295,0.14,349,17.98,408,18.5,454,0.22,409
95FF16W1,Seapatrick,Banbridge,8.66,710,8,0.12,613,0.12,589,-0.61,693,6.98,680,-0.11,458,10.55,574,12.74,617,0.11,646
