SA2011,lgd1993,catholic_pct_1971,lgd1971_pop
N00002207,CRAIGAVON,38.7,71202
N00002265,CRAIGAVON,38.7,71202
N00002264,CRAIGAVON,38.7,71202
N00002267,CRAIGAVON,38.7,71202
N00002278,CRAIGAVON,38.7,71202
N00002279,CRAIGAVON,38.7,71202
N00002268,CRAIGAVON,38.7,71202
N00002380,CRAIGAVON,38.7,71202
N00002341,CRAIGAVON,38.7,71202
N00002336,CRAIGAVON,38.7,71202
N00002228,CRAIGAVON,38.7,71202
N00002225,CRAIGAVON,38.7,71202
N00002343,CRAIGAVON,38.7,71202
N00002339,CRAIGAVON,38.7,71202
N00002337,CRAIGAVON,38.7,71202
N00002342,CRAIGAVON,38.7,71202
N00002355,CRAIGAVON,38.7,71202
N00002353,CRAIGAVON,38.7,71202
N00002269,CRAIGAVON,38.7,71202
N00002266,CRAIGAVON,38.7,71202
N00002272,CRAIGAVON,38.7,71202
N00002271,CRAIGAVON,38.7,71202
N00002277,CRAIGAVON,38.7,71202
N00002356,CRAIGAVON,38.7,71202
N00002274,CRAIGAVON,38.7,71202
N00002354,CRAIGAVON,38.7,71202
N00002270,CRAIGAVON,38.7,71202
N00002242,CRAIGAVON,38.7,71202
N00002244,CRAIGAVON,38.7,71202
N00002357,CRAIGAVON,38.7,71202
N00002358,CRAIGAVON,38.7,71202
N00002359,CRAIGAVON,38.7,71202
N00002245,CRAIGAVON,38.7,71202
N00002240,CRAIGAVON,38.7,71202
N00002241,CRAIGAVON,38.7,71202
N00002224,CRAIGAVON,38.7,71202
N00002243,CRAIGAVON,38.7,71202
N00002236,CRAIGAVON,38.7,71202
N00002238,CRAIGAVON,38.7,71202
N00002239,CRAIGAVON,38.7,71202
N00002237,CRAIGAVON,38.7,71202
N00002344,CRAIGAVON,38.7,71202
N00002345,CRAIGAVON,38.7,71202
N00002352,CRAIGAVON,38.7,71202
N00002347,CRAIGAVON,38.7,71202
N00002349,CRAIGAVON,38.7,71202
N00002348,CRAIGAVON,38.7,71202
N00002346,CRAIGAVON,38.7,71202
N00002223,CRAIGAVON,38.7,71202
N00002222,CRAIGAVON,38.7,71202
N00002226,CRAIGAVON,38.7,71202
N00002227,CRAIGAVON,38.7,71202
N00002320,CRAIGAVON,38.7,71202
N00002318,CRAIGAVON,38.7,71202
N00002221,CRAIGAVON,38.7,71202
N00002338,CRAIGAVON,38.7,71202
N00002340,CRAIGAVON,38.7,71202
N00002319,CRAIGAVON,38.7,71202
N00002323,CRAIGAVON,38.7,71202
N00002322,CRAIGAVON,38.7,71202
N00002324,CRAIGAVON,38.7,71202
N00002317,CRAIGAVON,38.7,71202
N00002321,CRAIGAVON,38.7,71202
N00002350,CRAIGAVON,38.7,71202
N00002325,CRAIGAVON,38.7,71202
N00002327,CRAIGAVON,38.7,71202
N00002328,CRAIGAVON,38.7,71202
N00002329,CRAIGAVON,38.7,71202
N00002331,CRAIGAVON,38.7,71202
N00002386,CRAIGAVON,38.7,71202
N00002282,CRAIGAVON,38.7,71202
N00002283,CRAIGAVON,38.7,71202
N00002284,CRAIGAVON,38.7,71202
N00002288,CRAIGAVON,38.7,71202
N00002392,CRAIGAVON,38.7,71202
N00002287,CRAIGAVON,38.7,71202
N00002286,CRAIGAVON,38.7,71202
N00002281,CRAIGAVON,38.7,71202
N00002351,CRAIGAVON,38.7,71202
N00002285,CRAIGAVON,38.7,71202
N00002171,CRAIGAVON,38.7,71202
N00002175,CRAIGAVON,38.7,71202
N00002176,CRAIGAVON,38.7,71202
N00002391,CRAIGAVON,38.7,71202
N00002395,CRAIGAVON,38.7,71202
N00002393,CRAIGAVON,38.7,71202
N00002394,CRAIGAVON,38.7,71202
N00002389,CRAIGAVON,38.7,71202
N00002387,CRAIGAVON,38.7,71202
N00002390,CRAIGAVON,38.7,71202
N00002388,CRAIGAVON,38.7,71202
N00002251,CRAIGAVON,38.7,71202
N00002249,CRAIGAVON,38.7,71202
N00002250,CRAIGAVON,38.7,71202
N00002247,CRAIGAVON,38.7,71202
N00002246,CRAIGAVON,38.7,71202
N00002254,CRAIGAVON,38.7,71202
N00002253,CRAIGAVON,38.7,71202
N00002307,CRAIGAVON,38.7,71202
N00002303,CRAIGAVON,38.7,71202
N00002248,CRAIGAVON,38.7,71202
N00002273,CRAIGAVON,38.7,71202
N00002275,CRAIGAVON,38.7,71202
N00002276,CRAIGAVON,38.7,71202
N00002305,CRAIGAVON,38.7,71202
N00002301,CRAIGAVON,38.7,71202
N00002306,CRAIGAVON,38.7,71202
N00002304,CRAIGAVON,38.7,71202
N00002280,CRAIGAVON,38.7,71202
N00002300,CRAIGAVON,38.7,71202
N00002313,CRAIGAVON,38.7,71202
N00002315,CRAIGAVON,38.7,71202
N00002314,CRAIGAVON,38.7,71202
