DZ2021_cd,SA2011_dominant,SA2011_point
N20003724,N00000228,N00000228
N20003725,N00000229,N00000229
N20003726,N00000215,N00000215
N20003727,N00000222,N00000222
N20003728,N00000293,N00000293
N20003729,N00000295,N00000292
N20003730,N00000294,N00000292
N20003731,N00000282,N00000282
N20003732,N00000292,N00000292
N20003733,N00000291,N00000291
N20003734,N00000289,N00000289
N20003735,N00000290,N00000290
N20003736,N00000286,N00000286
N20003737,N00000172,N00000172
N20003738,N00000278,N00000278
N20003739,N00000282,N00000283
N20003740,N00000281,N00000281
N20003741,N00000172,N00000172
N20003742,N00000174,N00000174
N20003743,N00000173,N00000173
N20003744,N00000169,N00000169
N20003745,N00000175,N00000175
N20003746,N00000169,N00000171
N20003747,N00000155,N00000155
N20003748,N00000150,N00000150
N20003749,N00000149,N00000149
N20003750,N00000152,N00000152
N20003751,N00000151,N00000151
N20003752,N00000156,N00000156
N20003753,N00000148,N00000148
N20003754,N00000155,N00000155
N20003755,N00000157,N00000157
N20003756,N00000157,N00000157
N20003757,N00000158,N00000158
N20003758,N00000326,N00000326
N20003759,N00000265,N00000265
N20003760,N00000264,N00000264
N20003761,N00000323,N00000323
N20003762,N00000322,N00000319
N20003763,N00000262,N00000262
N20003764,N00000318,N00000318
N20003765,N00000319,N00000319
N20003766,N00000321,N00000321
N20003767,N00000320,N00000320
N20003768,N00000320,N00000320
N20003769,N00000325,N00000325
N20003770,N00000325,N00000325
N20003771,N00000259,N00000260
N20003772,N00000260,N00000260
N20003773,N00000259,N00000259
N20003774,N00000312,N00000261
N20003775,N00000313,N00000311
N20003776,N00000313,N00000313
N20003777,N00000314,N00000314
N20003778,N00000311,N00000311
N20003779,N00000317,N00000310
N20003780,N00000310,N00000310
