OA_CODE,DZ2021_cd_dominant,DZ2021_cd_point
95FF080003,N20000638,N20000638
95FF080004,N20000634,N20000634
95FF080005,N20000640,N20000638
95FF080006,N20000642,N20000640
95FF080007,N20000624,N20000624
95FF080008,N20000630,N20000634
95FF090001,N20000629,N20000629
95FF090002,N20000595,N20000601
95FF090003,N20000595,N20000595
95FF090004,N20000595,N20000601
95FF090005,N20000595,N20000598
95FF090006,N20000598,N20000598
95FF090007,N20000600,N20000598
95FF100001,N20000587,N20000587
95FF100002,N20003323,N20000590
95FF100003,N20000590,N20000587
95FF100004,N20000582,N20000582
95FF100005,N20000588,N20000582
95FF100006,N20000582,N20000584
95FF100007,N20000589,N20000589
95FF110001,N20000592,N20000592
95FF110002,N20000593,N20000593
95FF110003,N20000655,N20000655
95FF110004,N20000656,N20000656
95FF110005,N20000657,N20000657
95FF110006,N20000592,N20000593
95FF120001,N20000580,N20000597
95FF120002,N20000605,N20000605
95FF120003,N20000595,N20000606
95FF120004,N20000585,N20000585
95FF120005,N20000606,N20000606
95FF120006,N20000595,N20000596
95FF130001,N20000642,N20000642
95FF130002,N20000652,N20000652
95FF130003,N20000649,N20000646
95FF130004,N20000649,N20000649
